specimen,load_kN,Ubar,Diagn,VSt1,VSt2,HDiagn,VDiagn,HUbar,HStack,St1,St1St2,VStack
NS-REF,14.2044,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.2747,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.3460,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.4107,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.4717,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.5299,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.5900,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.6375,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.7048,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.7583,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.8159,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.8886,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,14.9485,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,15.0290,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,15.0940,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,15.1272,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.1687,0.3803,0.0000,0.0461,0.0000,0.0000,0.0000,0.3803,0.3803,0.0461,0.0461,0.0461
NS-REF,15.2278,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.2785,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.3105,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.3760,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.4407,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.5026,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.5737,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.6462,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.6998,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.7599,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.8226,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.8635,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
NS-REF,15.9002,0.3803,0.0000,0.0614,0.0000,0.0000,0.0000,0.3803,0.3803,0.0614,0.0614,0.0614
