specimen,load_kN,Ubar,Diagn,VSt1,VSt2,HDiagn,VDiagn,HUbar,HStack,St1,St1St2,VStack
NS-REF,11.3529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.3764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.4006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.4421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.4712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.5326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NS-REF,11.5854,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.6210,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.6603,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.7156,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.7465,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.7804,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.8447,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.8726,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.9269,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,11.9644,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,12.0087,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,12.0764,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,12.1214,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
